,overall_qual,gr_liv_area,garage_cars,garage_area,total_bsmt_sf,1st_flr_sf,year_built,full_bath,year_remod/add,mas_vnr_area,saleprice
58,7,2035,2.0,434.0,884.0,884,2001,2,2001,180.0,222500
59,9,2599,3.0,779.0,1393.0,1422,1999,2,1999,165.0,333168
60,8,2475,3.0,962.0,1629.0,1645,1998,2,1998,114.0,355000
61,7,1720,2.0,527.0,1720.0,1720,1996,2,1996,338.0,260400
62,8,2622,2.0,712.0,1463.0,1500,1994,2,1995,362.0,325000
63,8,2270,3.0,671.0,1152.0,1164,1999,2,2007,348.0,290000
64,7,1839,2.0,486.0,1195.0,1195,1998,2,1998,30.0,221000
65,8,3238,3.0,666.0,2033.0,2053,1995,2,1996,579.0,410000
66,8,1595,3.0,880.0,1595.0,1595,2005,2,2006,226.0,221500
67,7,1218,2.0,676.0,1218.0,1218,2009,2,2010,0.0,204500
68,7,1547,2.0,614.0,756.0,764,2009,2,2009,0.0,215200
69,8,1566,2.0,750.0,1566.0,1566,2008,2,2008,36.0,262500
70,7,1947,2.0,678.0,991.0,991,2004,2,2005,0.0,254900
71,6,1468,2.0,528.0,1468.0,1468,2005,2,2005,0.0,271500
72,7,2084,2.0,618.0,956.0,956,2004,2,2004,0.0,233000
73,7,1659,2.0,484.0,831.0,831,2004,2,2004,122.0,181000
74,7,2110,2.0,463.0,948.0,1222,1994,2,2002,0.0,205000
75,6,923,1.0,264.0,923.0,923,1980,2,1980,0.0,143000
76,6,1845,2.0,462.0,1055.0,1055,1992,2,1992,0.0,189000
77,6,918,1.0,264.0,918.0,918,1979,2,1979,0.0,99500
78,6,752,1.0,264.0,744.0,752,1984,1,1984,0.0,125000
79,7,1744,2.0,457.0,996.0,1014,1993,2,2003,0.0,194500
80,6,1097,2.0,480.0,1040.0,1097,1984,2,1985,0.0,152000
81,6,1564,2.0,476.0,650.0,888,1980,2,1981,130.0,171000
82,5,1012,1.0,429.0,816.0,1012,1920,1,1950,0.0,67500
83,6,1902,2.0,539.0,0.0,1318,1978,2,1978,0.0,112000
84,5,1155,2.0,576.0,1109.0,1155,1961,1,1995,0.0,148000
85,5,894,1.0,336.0,894.0,894,1965,1,2009,0.0,138500
86,5,900,1.0,280.0,882.0,900,1967,1,1967,31.0,122000
87,5,1040,1.0,308.0,1040.0,1040,1963,1,1963,0.0,133000
88,5,1040,1.0,260.0,1040.0,1040,1962,1,2010,0.0,127000
89,6,1494,2.0,461.0,1208.0,1494,1974,2,2002,250.0,169000
90,7,1923,2.0,564.0,750.0,1061,1992,2,1992,0.0,190000
91,8,2349,3.0,762.0,1231.0,1251,1993,2,1993,504.0,362500
92,8,2225,3.0,713.0,1390.0,1402,1992,2,1993,180.0,285000
93,7,1488,2.0,506.0,1488.0,1488,2004,2,2005,0.0,260000
94,7,1680,2.0,588.0,840.0,840,2004,2,2004,0.0,190000
95,7,1200,2.0,480.0,600.0,600,2004,2,2004,120.0,155000
96,7,1200,2.0,480.0,600.0,600,2004,2,2005,0.0,151000
97,7,1200,2.0,480.0,600.0,600,2004,2,2005,0.0,149500
98,6,1236,2.0,480.0,600.0,600,2005,2,2005,216.0,152000
99,7,1478,2.0,484.0,1470.0,1478,2009,2,2009,432.0,222000
100,6,1573,2.0,440.0,756.0,769,2000,2,2000,216.0,177500
101,6,1512,2.0,440.0,756.0,756,2000,2,2000,1159.0,177000
102,7,1416,2.0,484.0,696.0,696,1999,2,1999,0.0,155000
103,7,1080,2.0,496.0,530.0,530,2003,2,2003,0.0,147110
104,8,1418,3.0,852.0,1642.0,1418,2010,1,2010,0.0,267916
105,8,1848,2.0,592.0,975.0,975,2000,2,2000,0.0,254000
106,8,788,2.0,484.0,728.0,788,1980,1,1980,0.0,155000
107,8,1226,2.0,484.0,1226.0,1226,1978,1,1978,0.0,206000
108,6,1479,2.0,475.0,725.0,725,1976,2,2005,289.0,130500
109,7,1492,2.0,596.0,1492.0,1492,2002,2,2002,0.0,230000
110,6,1829,2.0,535.0,1829.0,1829,1967,2,1967,120.0,218500
111,6,2495,2.0,660.0,1280.0,1280,1993,2,1993,0.0,243500
112,6,1610,2.0,480.0,1610.0,1610,1977,2,2001,28.0,205000
113,6,1891,2.0,678.0,1224.0,1287,1978,3,1978,0.0,212500
114,7,1714,2.0,496.0,980.0,980,1988,2,1988,42.0,196500
115,6,1381,2.0,676.0,1161.0,1381,1972,1,2006,0.0,197500
116,6,1645,2.0,441.0,715.0,930,1971,1,1971,0.0,171000
117,5,1232,2.0,490.0,1232.0,1232,1966,1,1966,172.0,142250
118,6,1328,2.0,528.0,1328.0,1328,1963,1,1963,451.0,143000
119,4,1225,0.0,0.0,950.0,1225,1959,1,1959,0.0,128950
120,5,1209,2.0,504.0,1209.0,1209,1966,1,1966,0.0,159000
121,5,1510,2.0,517.0,1510.0,1510,1967,2,1967,268.0,178900
122,6,1775,2.0,480.0,533.0,1131,1964,2,1964,0.0,136300
123,5,1152,2.0,484.0,1152.0,1152,1964,1,1964,86.0,180500
124,6,1054,2.0,480.0,936.0,1054,1963,1,1963,156.0,137500
125,5,1728,0.0,0.0,1728.0,1728,1962,2,2001,144.0,84900
126,5,1078,1.0,240.0,1078.0,1078,1950,1,1996,0.0,142125
127,5,2461,2.0,400.0,1140.0,1929,1952,2,2002,265.0,197600
128,6,1556,2.0,470.0,782.0,1019,1949,2,1950,340.0,172500
129,5,858,0.0,0.0,858.0,858,1958,1,2008,0.0,116500
130,3,1306,0.0,0.0,728.0,1306,1940,1,1966,0.0,76500
131,5,1063,1.0,280.0,1056.0,1063,1954,1,1954,110.0,128000
132,6,1520,1.0,364.0,1156.0,1520,1955,1,1972,164.0,153000
133,5,1268,1.0,244.0,1268.0,1268,1954,1,1954,200.0,132000
134,6,1128,1.0,315.0,1080.0,1128,1966,1,2008,216.0,178000
135,5,2274,2.0,480.0,1105.0,1105,1960,2,1960,361.0,154300
136,7,2207,2.0,576.0,1947.0,2207,1970,2,1989,287.0,180000
137,6,1888,2.0,578.0,1517.0,1888,1966,2,2002,0.0,190000
138,5,1604,2.0,576.0,1604.0,1604,1958,2,1958,0.0,135000
139,7,1480,2.0,620.0,1480.0,1480,2003,2,2009,506.0,214000
140,5,1143,1.0,308.0,1143.0,1143,1959,1,1959,150.0,136000
141,5,1700,2.0,447.0,1398.0,1700,1959,1,1959,0.0,165500
142,5,1314,1.0,294.0,1314.0,1314,1957,1,1957,0.0,145000
143,6,1194,1.0,312.0,1194.0,1194,1959,1,1959,220.0,148000
144,5,1188,2.0,531.0,1188.0,1188,1959,1,1959,180.0,142000
145,5,1264,2.0,461.0,1268.0,1264,1960,1,1960,324.0,167500
146,5,1206,1.0,312.0,1206.0,1206,1959,1,1959,91.0,108538
147,6,1580,2.0,440.0,1244.0,1580,1959,1,1959,432.0,159500
148,4,1337,1.0,263.0,832.0,832,1956,1,1956,0.0,108000
149,5,1064,1.0,318.0,864.0,1064,1952,1,1952,0.0,135000
150,5,972,1.0,305.0,972.0,972,1955,1,1955,0.0,122500
151,5,988,1.0,264.0,988.0,988,1958,1,1958,0.0,119000
152,5,1057,1.0,246.0,1057.0,1057,1953,1,2007,0.0,109000
153,4,985,2.0,676.0,576.0,985,1920,1,1994,0.0,105000
154,5,827,1.0,392.0,0.0,827,1955,1,2007,0.0,107500
155,5,1086,2.0,490.0,1086.0,1086,1954,1,2003,104.0,144900
156,5,936,1.0,308.0,936.0,936,1956,1,2000,0.0,129000
157,6,1458,1.0,330.0,912.0,912,1948,1,1950,0.0,97500
158,6,1056,2.0,576.0,1056.0,1056,1980,0,1980,0.0,144000
159,5,1287,2.0,576.0,1063.0,1287,1959,1,2006,0.0,162000
160,7,2978,2.0,564.0,710.0,1898,1967,2,2007,300.0,242000
161,6,1224,1.0,280.0,816.0,816,1948,1,2004,0.0,132000
162,5,1246,1.0,305.0,1246.0,1246,1959,1,1994,0.0,154000
163,5,1385,2.0,720.0,910.0,910,1952,2,1952,0.0,166000
164,5,900,2.0,576.0,900.0,900,1951,1,2000,0.0,134800
165,6,1116,2.0,440.0,1116.0,1116,1962,1,1962,261.0,160000
166,5,1175,2.0,484.0,1175.0,1175,1960,1,1960,0.0,148000
167,6,1395,2.0,440.0,1395.0,1395,1963,1,1984,218.0,192000
168,6,1839,2.0,442.0,756.0,1051,1966,1,1966,351.0,155000
169,4,1844,1.0,240.0,709.0,1157,1900,1,1954,771.0,80400
170,4,1140,0.0,0.0,576.0,792,1910,1,2004,0.0,96500
171,5,936,0.0,0.0,936.0,936,1920,1,1950,0.0,109500
172,5,1028,2.0,360.0,1008.0,1028,1927,1,1950,0.0,115000
173,5,1347,2.0,551.0,1347.0,1347,1957,1,1957,0.0,143000
174,3,1605,1.0,379.0,840.0,840,1915,2,1950,0.0,107400
175,4,747,1.0,220.0,747.0,747,1945,1,1950,0.0,80000
176,5,804,1.0,240.0,788.0,804,1940,1,1992,294.0,119000
177,5,1316,2.0,484.0,926.0,926,1929,1,2001,0.0,130000
178,6,1251,1.0,240.0,827.0,827,1938,1,2000,0.0,119000
179,5,1633,1.0,240.0,1027.0,1027,1948,1,2009,0.0,129000
180,5,1245,1.0,315.0,1008.0,1060,1920,1,1962,0.0,100000
181,2,832,2.0,780.0,678.0,832,1923,1,1970,0.0,12789
182,6,720,2.0,484.0,624.0,720,1928,1,2003,0.0,105900
183,8,1566,1.0,288.0,930.0,930,1900,2,2003,0.0,150000
184,5,1652,1.0,416.0,686.0,966,1915,2,1950,0.0,139000
185,8,2268,2.0,624.0,346.0,1157,1890,3,2002,0.0,240000
186,5,2256,0.0,0.0,840.0,1128,1910,2,1950,0.0,76500
187,6,1236,2.0,923.0,912.0,1236,1957,1,1996,0.0,149700
188,4,1363,2.0,528.0,622.0,741,1910,1,1950,0.0,125500
189,4,2290,2.0,560.0,777.0,1246,1885,2,1950,0.0,122500
190,6,1470,2.0,624.0,738.0,868,1922,1,1994,0.0,140750
191,5,1612,1.0,363.0,988.0,1030,1950,1,1997,0.0,128500
192,7,2068,1.0,315.0,1108.0,1160,1922,1,2005,0.0,209500
193,4,765,1.0,200.0,765.0,765,1925,1,1950,0.0,87000
194,6,1132,1.0,240.0,608.0,608,1939,1,1950,0.0,134000
195,6,1196,2.0,576.0,572.0,848,1940,1,1950,0.0,128000
196,5,1453,1.0,240.0,835.0,955,1942,1,1950,300.0,132000
197,6,1416,1.0,312.0,780.0,780,1948,1,1950,0.0,139900
198,5,1040,2.0,624.0,528.0,548,1936,1,1980,0.0,123900
199,5,1536,2.0,480.0,928.0,928,1930,2,1950,0.0,138400
200,6,1068,1.0,288.0,1124.0,1068,1923,1,1950,0.0,109500
201,7,1710,2.0,480.0,576.0,902,1921,2,1950,0.0,140000
202,4,1962,2.0,572.0,888.0,888,1915,1,1950,0.0,149500
203,6,1560,0.0,0.0,780.0,780,1912,1,2009,0.0,159900
204,6,1324,1.0,180.0,662.0,662,1920,1,1993,0.0,122000
205,5,816,2.0,516.0,816.0,816,1963,1,1963,0.0,110000
206,4,1092,0.0,0.0,0.0,372,1930,2,1950,0.0,55000
207,5,1812,2.0,672.0,360.0,1032,1900,2,1996,0.0,140000
208,7,2403,1.0,349.0,1032.0,1207,1940,2,1950,0.0,244400
209,5,1675,1.0,365.0,1422.0,1675,1959,2,1959,90.0,173000
210,5,1224,1.0,180.0,689.0,725,1917,1,1950,0.0,107500
211,5,1392,0.0,0.0,1212.0,1212,1915,1,1950,0.0,100000
212,6,919,1.0,231.0,600.0,600,1940,1,1950,0.0,95000
213,4,1884,0.0,0.0,707.0,942,1907,1,1950,0.0,93369
214,5,1680,2.0,450.0,856.0,936,1910,2,1950,0.0,114900
215,5,1020,0.0,0.0,780.0,780,1875,1,1996,0.0,94000
216,4,1832,0.0,0.0,1832.0,1832,1967,2,1967,72.0,136000
217,4,1768,0.0,0.0,1768.0,1768,1968,2,1968,0.0,136500
218,5,1039,2.0,504.0,1039.0,1039,1965,1,1965,0.0,131500
219,5,1392,2.0,528.0,1392.0,1392,1957,1,1996,180.0,121500
220,5,912,1.0,336.0,912.0,912,1967,1,1967,0.0,125000
221,5,1060,1.0,270.0,1060.0,1060,1968,1,2001,0.0,154000
222,5,892,1.0,416.0,864.0,892,1966,1,2008,47.0,137900
223,6,1352,1.0,299.0,663.0,663,1969,1,1969,143.0,158000
224,5,864,1.0,280.0,864.0,864,1968,1,1968,0.0,137250
225,5,1373,2.0,591.0,1319.0,1373,1978,1,1978,0.0,160250
226,5,1440,2.0,480.0,720.0,720,1968,1,1968,0.0,163000
227,6,1386,2.0,440.0,672.0,672,1978,2,1978,328.0,158900
228,7,2260,2.0,533.0,1306.0,1306,1996,2,1997,0.0,328000
229,7,1483,2.0,690.0,1420.0,1483,1977,1,2001,0.0,270000
230,4,756,2.0,440.0,660.0,756,1927,1,1950,0.0,85000
231,4,1067,2.0,436.0,1067.0,1067,1950,2,1995,0.0,128000
232,7,1524,2.0,586.0,1332.0,1332,1979,0,1979,0.0,260000
233,6,1981,2.0,522.0,1117.0,1117,1978,2,1992,288.0,230000
234,3,1610,1.0,480.0,972.0,1052,1938,2,1990,0.0,124000
235,5,835,1.0,366.0,458.0,835,1920,1,1950,0.0,83000
236,6,1074,1.0,467.0,663.0,1074,1950,1,1987,0.0,144500
237,5,1144,1.0,596.0,1144.0,1144,1956,1,1956,0.0,129000
238,4,1531,1.0,209.0,756.0,1169,1947,1,1979,0.0,127000
239,5,1172,1.0,366.0,1172.0,1172,1954,1,1998,0.0,128000
240,6,1212,2.0,460.0,1212.0,1212,2009,2,2009,0.0,186000
241,7,1508,2.0,572.0,1508.0,1508,2009,1,2010,96.0,308030
242,5,1298,2.0,504.0,1250.0,1298,1964,2,1964,0.0,114000
243,4,930,1.0,308.0,0.0,930,1946,1,2006,0.0,84900
244,6,1732,2.0,476.0,741.0,977,1985,2,1985,336.0,178000
245,7,1433,2.0,528.0,1433.0,1433,1987,1,1987,177.0,270000
246,6,1802,4.0,1017.0,946.0,964,1993,2,1993,85.0,218000
247,7,1949,2.0,574.0,1050.0,1062,1993,2,1994,246.0,236000
248,6,996,2.0,564.0,936.0,996,1992,1,1992,0.0,147000
249,8,1694,3.0,776.0,1694.0,1694,2008,2,2008,72.0,245350
250,7,1208,2.0,632.0,1187.0,1208,2006,2,2006,24.0,206000
251,7,1226,3.0,740.0,1226.0,1226,2009,2,2009,0.0,198900
252,7,1222,2.0,615.0,1222.0,1222,2010,2,2010,80.0,187000
253,7,3222,3.0,594.0,1673.0,1699,1990,3,1990,0.0,320000
254,6,1445,2.0,484.0,676.0,831,1900,2,1993,0.0,138500
255,6,1052,2.0,440.0,1010.0,1052,1971,1,1971,80.0,155000
256,5,965,2.0,580.0,870.0,965,1996,1,1996,0.0,159000
257,7,1692,2.0,513.0,878.0,892,1997,2,1998,0.0,191000
258,6,1682,2.0,523.0,804.0,804,1998,2,1998,116.0,200500
259,5,1026,1.0,308.0,1026.0,1026,1977,1,2004,0.0,150000
260,6,1392,1.0,299.0,689.0,689,1977,1,1977,153.0,161750
261,5,894,1.0,308.0,894.0,894,1976,1,1976,0.0,128200
262,5,876,2.0,484.0,876.0,876,1972,1,1972,0.0,127000
263,8,1978,3.0,850.0,1978.0,1978,2003,2,2003,320.0,318000
264,8,1601,2.0,670.0,1581.0,1601,2001,2,2002,479.0,272000
265,7,1829,2.0,613.0,941.0,941,2003,2,2003,223.0,237000
266,7,2098,2.0,621.0,1040.0,1044,1997,2,1997,0.0,240000
267,7,1661,2.0,598.0,1649.0,1661,1998,2,1998,442.0,224900
268,6,848,2.0,420.0,848.0,848,2003,1,2003,170.0,143750
269,6,848,2.0,420.0,848.0,848,2004,1,2004,169.0,143000
270,8,1668,2.0,502.0,1657.0,1668,2003,2,2003,171.0,232000
271,7,1484,2.0,606.0,1473.0,1484,2004,2,2005,109.0,213000
272,7,1414,2.0,494.0,1414.0,1414,2004,2,2004,98.0,185500
273,3,640,1.0,240.0,0.0,640,1945,1,2007,0.0,84900
274,5,992,1.0,319.0,381.0,992,1954,1,1954,0.0,155891
275,5,1664,0.0,0.0,0.0,1664,1965,2,1965,0.0,100000
276,5,1196,1.0,336.0,1196.0,1196,1968,1,1968,0.0,144000
277,4,1120,2.0,480.0,744.0,792,1948,1,1950,0.0,64000
278,6,1096,1.0,352.0,1008.0,1096,1975,1,1975,0.0,125200
279,6,1117,2.0,672.0,1029.0,1117,1976,1,1976,0.0,107000
280,4,960,0.0,0.0,960.0,960,1958,1,1958,0.0,90000
281,4,1121,2.0,440.0,1121.0,1121,2003,2,2004,0.0,140000
282,6,1487,1.0,220.0,735.0,798,1945,1,1950,0.0,113000
283,4,924,1.0,280.0,672.0,672,1941,1,1950,0.0,80000
284,5,1526,1.0,364.0,1216.0,1526,1957,1,2002,145.0,144500
285,5,1296,1.0,260.0,1107.0,1296,1924,2,1999,203.0,104000
286,6,1647,1.0,216.0,806.0,841,1915,1,1950,0.0,128000
287,3,864,1.0,200.0,864.0,864,1914,1,1950,0.0,58500
288,5,1691,1.0,308.0,1026.0,1026,1924,2,1950,0.0,127000
289,6,856,2.0,399.0,856.0,856,1939,1,1950,0.0,126000
290,4,2650,0.0,0.0,0.0,862,1967,3,1967,0.0,160000
291,5,1666,0.0,0.0,894.0,894,1931,1,1950,0.0,100000
292,6,2447,1.0,336.0,804.0,1699,1919,2,1990,0.0,169000
293,7,2133,1.0,312.0,1528.0,1225,1941,1,1985,371.0,257500
294,5,2177,2.0,484.0,1032.0,1102,1950,2,1991,430.0,215000
295,7,2340,1.0,252.0,1152.0,1188,1941,2,2006,0.0,266500
296,7,1902,2.0,567.0,1902.0,1902,1959,2,2002,0.0,335000
297,7,1652,2.0,473.0,423.0,896,1994,2,2007,44.0,203135
298,8,1034,2.0,598.0,982.0,1034,1989,1,1989,0.0,185000
299,8,1191,2.0,531.0,1191.0,1191,1989,2,1989,0.0,162500
300,7,1801,2.0,484.0,1501.0,1801,1959,2,1997,0.0,289000
301,4,1154,1.0,240.0,796.0,796,1922,1,2007,0.0,125500
302,2,540,1.0,200.0,480.0,540,1941,1,1950,0.0,82000
303,6,1107,1.0,625.0,629.0,727,1921,1,1975,0.0,110000
304,4,1128,2.0,528.0,698.0,698,1920,1,1950,0.0,68400
305,4,1178,1.0,384.0,859.0,859,1900,1,1950,0.0,102776
306,5,1044,2.0,504.0,540.0,1044,1952,1,1952,0.0,55993
307,4,952,1.0,330.0,756.0,952,1896,1,1950,0.0,50138
308,8,1646,2.0,525.0,1594.0,1646,2004,2,2005,186.0,246000
309,8,1916,3.0,741.0,1049.0,1036,1998,2,1999,0.0,254900
310,6,1285,2.0,473.0,1243.0,1285,1977,2,1977,0.0,190000
311,7,1560,2.0,573.0,1560.0,1560,2003,2,2003,0.0,201000
312,6,1034,3.0,888.0,1012.0,1034,1976,1,1976,335.0,169900
313,6,2048,2.0,776.0,1958.0,2048,1976,3,1976,0.0,170000
314,5,1687,2.0,572.0,747.0,1687,1948,1,1950,0.0,160000
315,7,1346,3.0,660.0,1336.0,1346,2008,2,2008,60.0,220000
316,7,1214,2.0,520.0,1214.0,1214,2009,2,2010,0.0,179781
317,5,1444,2.0,400.0,384.0,744,2006,2,2007,0.0,174000
318,8,1968,3.0,680.0,774.0,774,2009,2,2010,84.0,269500
319,7,1894,2.0,510.0,817.0,824,2002,2,2003,44.0,214900
320,8,1908,2.0,431.0,967.0,993,2002,2,2002,0.0,202900
321,9,2018,3.0,746.0,2002.0,2018,2008,2,2009,0.0,378500
322,5,1264,2.0,528.0,1068.0,1264,1965,1,1977,0.0,169000
323,5,1430,2.0,624.0,1430.0,1430,2004,2,2005,0.0,173500
324,6,1824,0.0,0.0,912.0,912,1971,2,1971,0.0,139000
325,5,1344,2.0,686.0,1344.0,1344,1999,2,1999,0.0,166500
326,4,1092,1.0,286.0,546.0,546,1973,1,1973,0.0,83500
327,5,945,1.0,253.0,945.0,945,1973,1,1973,0.0,119500
328,5,1112,1.0,336.0,536.0,536,1976,1,1976,0.0,85000
329,4,1092,0.0,0.0,546.0,546,1970,1,1970,0.0,76000
330,4,630,0.0,0.0,630.0,630,1972,1,1972,0.0,75500
331,4,1092,0.0,0.0,546.0,546,1970,1,1970,0.0,88250
332,4,1092,1.0,286.0,546.0,546,1972,1,1972,0.0,85500
333,5,874,1.0,352.0,864.0,874,1971,1,2004,0.0,130000
334,5,1188,1.0,312.0,1188.0,1188,1962,1,1962,189.0,157900
335,5,833,2.0,495.0,833.0,833,1984,1,1984,0.0,149900
336,5,2432,2.0,616.0,1216.0,1216,1985,4,1986,0.0,159000
337,5,1274,2.0,576.0,624.0,624,1991,1,1991,0.0,136000
338,5,1479,1.0,275.0,864.0,864,1969,2,1969,0.0,161000
339,8,1803,2.0,482.0,1679.0,1803,1994,2,1995,0.0,285000
340,6,1797,2.0,616.0,1152.0,1152,1993,2,1994,0.0,231000
341,6,882,1.0,502.0,882.0,882,1956,1,1956,0.0,124500
342,6,1434,2.0,528.0,1434.0,1434,1974,2,1974,440.0,157000
343,8,2704,2.0,538.0,1952.0,2000,1972,2,1995,0.0,345000
344,6,1608,2.0,470.0,945.0,945,1997,2,1997,0.0,189500
345,8,2283,3.0,632.0,1008.0,1008,2003,2,2003,188.0,270000
346,7,1628,2.0,390.0,384.0,958,1996,2,1997,32.0,189000
347,9,1746,3.0,758.0,1746.0,1746,2006,2,2007,160.0,377500
348,7,1474,2.0,400.0,384.0,804,1995,2,1996,22.0,168500
349,8,2522,2.0,564.0,2208.0,2522,2004,2,2005,0.0,375000
350,8,1659,2.0,499.0,1501.0,1659,2000,2,2000,0.0,278000
351,8,1478,2.0,495.0,1418.0,1478,1998,2,1998,0.0,240000
352,8,1734,2.0,528.0,1587.0,1734,1995,2,1996,0.0,239500
353,7,1382,2.0,396.0,384.0,751,1998,2,1998,0.0,177500
354,7,1718,2.0,427.0,832.0,885,1998,2,1998,40.0,185000
355,6,1636,2.0,440.0,952.0,952,1998,2,1999,0.0,191000
356,6,1571,2.0,380.0,799.0,799,1993,2,1994,0.0,178000
357,6,1470,2.0,420.0,680.0,680,1993,2,1993,68.0,185000
358,6,1516,2.0,409.0,707.0,707,1994,2,1995,0.0,181316
359,6,1190,2.0,430.0,1181.0,1190,1993,2,1993,45.0,166000
360,6,1593,2.0,389.0,808.0,808,1992,2,1993,0.0,178000
361,6,1481,2.0,343.0,702.0,702,1994,2,1995,0.0,174000
362,6,1167,2.0,400.0,1158.0,1167,1992,2,1992,106.0,173000
363,7,1983,2.0,490.0,978.0,1005,1999,2,1999,344.0,225000
364,7,1442,2.0,500.0,1424.0,1442,1990,2,1990,0.0,180500
365,8,1360,2.0,565.0,1220.0,1360,1984,1,1984,0.0,187500
366,9,2234,3.0,1166.0,2216.0,2234,2008,2,2009,748.0,501837
367,8,2046,3.0,834.0,2046.0,2046,2008,2,2008,464.0,372500
368,7,1530,2.0,430.0,1530.0,1530,2005,2,2005,16.0,260000
369,5,1934,2.0,567.0,1122.0,946,1977,2,1977,157.0,185000
370,7,2353,2.0,484.0,845.0,1153,1980,2,1980,278.0,260000
371,6,1586,2.0,435.0,1362.0,1586,1979,2,1998,0.0,181000
372,7,1411,2.0,544.0,1386.0,1411,1977,2,1977,209.0,82500
373,6,1602,2.0,529.0,1602.0,1602,1977,2,2000,126.0,215000
374,7,2050,2.0,529.0,832.0,1154,1978,2,1978,256.0,154000
